series,display_series,reference,metric,estimate_difference,bootstrap_by_gene_ci95_low,bootstrap_by_gene_ci95_high,two_sided_bootstrap_by_gene_p,n_deletions_group,n_genes_group
LoF + Necessary,Activation-impairing,Neutral,deletion_interval_fraction_consensus_STRIDE_H,0.21075540548446678,0.1686667465305601,0.25217880673928295,0.0003999200159968006,1639,208
GoF,GoF,Neutral,deletion_interval_fraction_consensus_STRIDE_H,-0.0014745345978222635,-0.05756424936866857,0.057408552363365964,0.9530093981203759,234,108
GoF +0.5,GoF +0.5,Neutral,deletion_interval_fraction_consensus_STRIDE_H,0.007753695917536996,-0.06989116510415734,0.09804303341386265,0.8830233953209358,101,54
GoF Q85,GoF Q85,Neutral,deletion_interval_fraction_consensus_STRIDE_H,-0.022392213410237893,-0.12107959361629665,0.09622044607388058,0.6634673065386922,38,24
LoF + Necessary,Activation-impairing,Neutral,deletion_interval_any_consensus_STRIDE_H,0.2922965055538375,0.2345294864697085,0.348914764351183,0.0003999200159968006,1639,208
GoF,GoF,Neutral,deletion_interval_any_consensus_STRIDE_H,-0.02052452874370686,-0.11204138457538285,0.06938580982226814,0.6714657068586283,234,108
GoF +0.5,GoF +0.5,Neutral,deletion_interval_any_consensus_STRIDE_H,-0.009819612098196151,-0.1349129673035306,0.12366099706452963,0.8374325134973005,101,54
GoF Q85,GoF Q85,Neutral,deletion_interval_any_consensus_STRIDE_H,-0.0963229992790195,-0.24745844752758445,0.09283697716275449,0.2907418516296741,38,24
