Study,Assembly / reconstruction,Particles,Resolution (Å),EMDB,PDB,Tail definition / interpretation
Chen et al.Science 2021,Free ΔMED1-IDR — global MEDE,"95,433",3.5,EMD-31191,7EMF,MEDE free-Mediator comparator; Tail is comparatively uniformly resolved.
Chen et al.Science 2021,Free ΔMED1-IDR — focused Tail MEDE,"98,988",3.2,EMD-31194,—,Focused MEDE Tail comparator and highest-resolution Tail reconstruction in this dataset.
Chen et al.Science 2021,Free ΔMED1-IDR — global MEDB,"62,871",4.4,EMD-31211,7ENJ,MED25 and the MED16 helical bridge / αβ domain lack convincing density in MEDB and were not built.
Chen et al.Science 2021,Free ΔMED1-IDR — focused Tail MEDB,"96,354",4.5,EMD-31212,—,"Despite essentially matched particle number to the focused MEDE Tail, resolution remains 4.5 Å and the same regions remain unresolved."
Chen et al.Science 2021,Free WT Mediator — MEDE / MEDB,n.r. by state,4.0 / 7.1,EMD-31214 /EMD-31213,— / —,"Both MEDE and MEDB were recovered, excluding dependence on MED1-IDR deletion. The 3.6 Å focused WT Tail map was not assigned separately by state."
Chen et al.Science 2021,WT PIC-Mediator — pre / intermediate / holo,"22,253 /32,865 /32,750",6.5 / 4.3 / 4.2,EMD-31215*,—,MEDE was not observed; authors describe the remaining Saddle as highly flexible. These PIC states were not classified as MEDB.
Chen et al.Science 2021,ΔMED1-IDR PIC-Mediator — states 1–4,"48,654 /140,778 /46,630 /67,732",4.07 / 4.0 /5.22 / 4.13,EMD-31204 / 31205 /31206 / 31207,7ENA /— / — /7ENC,MEDE was not observed; the Saddle is highly flexible. Tail-focused refinement yielded fragmented density sufficient only to define Tail shape. These states were not classified as MEDB.
Chen et al.Science 2022,+1 nucleosome–PIC-Mediator (T40N) — MH / H binding,"26,458 /29,473",5.04 / 4.16,EMD-34359 /EMD-34360,8GXQ /8GXS,Not independently classified as MEDE or MEDB. Same overall PIC-Mediator configuration as the naked-promoter complex; an additional Tail map is deposited for EMD-34359.
